"Id","Sum_Steps","Sum_DIstance","Sum_Calories"
8877689391,497241,396.0,106028
8053475328,457662,340.0,91320
1503960366,375619,227.0,56309
2022484408,352490,239.0,77809
4388161847,335232,243.0,95910
3977333714,329537,212.0,45410
6962181067,303639,188.0,61443
7007744171,294409,199.0,66144
7086361926,290525,184.0,79557
8378563200,270249,197.0,106534
5553957443,266990,161.0,58146
4702921684,265734,201.0,91932
5577150313,249133,172.0,100789
4558609924,238239,146.0,63031
2873212765,234229,141.0,59426
4319703577,225334,139.0,63168
8583815059,223154,158.0,84693
1644430081,218489,143.0,84339
6117666160,197308,139.0,63312
1624580081,178061,106.0,45984
2026352035,172573,92.0,47760
2347167796,171354,106.0,36782
6290855005,163837,112.0,75389
4445114986,148693,86.0,67772
2320127002,146223,85.0,53449
3372868164,137233,86.0,38662
8253242879,123161,81.0,33972
1844505072,79982,45.0,48778
4020332650,70284,45.0,73960
6775888955,65512,37.0,55426
8792009665,53758,26.0,56907
1927972279,28400,13.0,67357
4057192912,15352,10.0,7895
